# . Text parameter file for the element Al.

Al   atomicNumber                          13
Al   iii                                    3
Al   iiid                                   3
Al   ir016                                  0
Al   ir066                                  0
Al   ir244                                  0
Al   ir266                                  0
Al   ir466                                  0
Al   qnd                                    0
Al   qnp                                    3
Al   qns                                    3
Al   ad                     0.263017432129726  atomic
Al   alp                    1.976586000000000  A^-1
Al   am                     0.297302047495314  atomic
Al   aq                     0.342777787337760  atomic
Al   betad                  0.000000000000000  eV
Al   betap                 -2.317146000000000  eV
Al   betas                 -3.866822000000000  eV
Al   dd                     1.404044264145787  atomic
Al   eheat                 79.489999999999995  kcal/mole
Al   eisol                -46.420814999999997  eV
Al   f0sd                   0.000000000000000  eV
Al   g2sd                   0.000000000000000  eV
Al   gp2                    5.400000000000000  eV
Al   gphot                  1.000000000000000  dimensionless
Al   gpp                    5.980000000000000  eV
Al   gsp                    6.630000000000000  eV
Al   gss                    8.090000000000000  eV
Al   hsp                    0.700000000000000  eV
Al   pcore                  0.000000000000000  atomic
Al   qq                     1.280915448244724  atomic
Al   udd                    0.000000000000000  eV
Al   upp                  -18.363645000000002  eV
Al   uss                  -24.353584999999999  eV
Al   zcore                  3.000000000000000  atomic
Al   zdn                    0.000000000000000  atomic
Al   zetad                  0.000000000000000  atomic
Al   zetap                  1.306347000000000  atomic
Al   zetas                  1.516593000000000  atomic
Al   zpn                    0.000000000000000  atomic
Al   zsn                    0.000000000000000  atomic
Al   fn10                   0.090000000000000  A_eV
Al   fn20                  12.392443000000000  A^-2
Al   fn30                   2.050394000000000  A
