# . Text parameter file for the element I.

I    atomicNumber                          53
I    iii                                    5
I    iiid                                   5
I    ir016                                  0
I    ir066                                  0
I    ir244                                  0
I    ir266                                  0
I    ir466                                  0
I    qnd                                    0
I    qnp                                    5
I    qns                                    5
I    ad                     0.449740583270435  atomic
I    alp                    2.299424000000000  A^-1
I    am                     0.552726349076394  atomic
I    aq                     0.463169135586046  atomic
I    betad                  0.000000000000000  eV
I    betap                 -6.323405000000000  eV
I    betas                 -8.443327000000000  eV
I    dd                     1.487877750786264  atomic
I    eheat                 25.516999999999999  kcal/mole
I    eisol               -346.864285399999915  eV
I    f0sd                   0.000000000000000  eV
I    g2sd                   0.000000000000000  eV
I    gp2                    9.914090699999999  eV
I    gphot                  1.000000000000000  dimensionless
I    gpp                   11.147783700000000  eV
I    gsp                   13.056558000000001  eV
I    gss                   15.040448600000000  eV
I    hsp                    2.456382000000000  eV
I    pcore                  0.000000000000000  atomic
I    qq                     1.188738842522036  atomic
I    udd                    0.000000000000000  eV
I    upp                  -74.429997000000000  eV
I    uss                 -103.589663000000002  eV
I    zcore                  7.000000000000000  atomic
I    zdn                    0.000000000000000  atomic
I    zetad                  0.000000000000000  atomic
I    zetap                  2.161153000000000  atomic
I    zetas                  2.102858000000000  atomic
I    zpn                    0.000000000000000  atomic
I    zsn                    0.000000000000000  atomic
I    fn10                   0.004361000000000  A_eV
I    fn20                   2.300000000000000  A^-2
I    fn30                   1.800000000000000  A
I    fn11                   0.015706000000000  A_eV
I    fn21                   3.000000000000000  A^-2
I    fn31                   2.240000000000000  A
