# . Text parameter file for the element N.

N    atomicNumber                           7
N    iii                                    2
N    iiid                                   3
N    ir016                                  0
N    ir066                                  0
N    ir244                                  0
N    ir266                                  0
N    ir466                                  0
N    qnd                                    0
N    qnp                                    2
N    qns                                    2
N    ad                     0.782065905682507  atomic
N    alp                    2.947286000000000  A^-1
N    am                     0.499423340600905  atomic
N    aq                     0.788337142005336  atomic
N    betad                  0.000000000000000  eV
N    betap                -18.238665999999998  eV
N    betas                -20.299109999999999  eV
N    dd                     0.643324742501126  atomic
N    eheat                113.000000000000000  kcal/mole
N    eisol               -202.407743000000011  eV
N    f0sd                   0.000000000000000  eV
N    g2sd                   0.000000000000000  eV
N    gp2                   11.590000000000000  eV
N    gphot                  1.000000000000000  dimensionless
N    gpp                   12.980000000000000  eV
N    gsp                   12.660000000000000  eV
N    gss                   13.590000000000000  eV
N    hsp                    3.140000000000000  eV
N    pcore                  0.000000000000000  atomic
N    qq                     0.567552791732666  atomic
N    udd                    0.000000000000000  eV
N    upp                  -57.167580999999998  eV
N    uss                  -71.859999999999999  eV
N    zcore                  5.000000000000000  atomic
N    zdn                    0.000000000000000  atomic
N    zetad                  0.000000000000000  atomic
N    zetap                  2.157940000000000  atomic
N    zetas                  2.315410000000000  atomic
N    zpn                    0.000000000000000  atomic
N    zsn                    0.000000000000000  atomic
N    fn10                   0.025251000000000  A_eV
N    fn20                   5.000000000000000  A^-2
N    fn30                   1.500000000000000  A
N    fn11                   0.028953000000000  A_eV
N    fn21                   5.000000000000000  A^-2
N    fn31                   2.100000000000000  A
N    fn12                  -0.005806000000000  A_eV
N    fn22                   2.000000000000000  A^-2
N    fn32                   2.400000000000000  A
