# . Text parameter file for the element O.

O    atomicNumber                           8
O    iii                                    2
O    iiid                                   3
O    ir016                                  0
O    ir066                                  0
O    ir244                                  0
O    ir266                                  0
O    ir466                                  0
O    qnd                                    0
O    qnp                                    2
O    qns                                    2
O    ad                     0.996083743437470  atomic
O    alp                    4.455371000000000  A^-1
O    am                     0.566674607216037  atomic
O    aq                     0.906507859341756  atomic
O    betad                  0.000000000000000  eV
O    betap                -29.272773000000001  eV
O    betas                -29.272773000000001  eV
O    dd                     0.498889640383439  atomic
O    eheat                 59.558999999999997  kcal/mole
O    eisol               -316.099519999999984  eV
O    f0sd                   0.000000000000000  eV
O    g2sd                   0.000000000000000  eV
O    gp2                   12.980000000000000  eV
O    gphot                  1.000000000000000  dimensionless
O    gpp                   14.520000000000000  eV
O    gsp                   14.480000000000000  eV
O    gss                   15.420000000000000  eV
O    hsp                    3.940000000000000  eV
O    pcore                  0.000000000000000  atomic
O    qq                     0.485232150292285  atomic
O    udd                    0.000000000000000  eV
O    upp                  -78.262379999999993  eV
O    uss                  -97.829999999999998  eV
O    zcore                  6.000000000000000  atomic
O    zdn                    0.000000000000000  atomic
O    zetad                  0.000000000000000  atomic
O    zetap                  2.524039000000000  atomic
O    zetas                  3.108032000000000  atomic
O    zpn                    0.000000000000000  atomic
O    zsn                    0.000000000000000  atomic
O    fn10                   0.280962000000000  A_eV
O    fn20                   5.000000000000000  A^-2
O    fn30                   0.847918000000000  A
O    fn11                   0.081430000000000  A_eV
O    fn21                   7.000000000000000  A^-2
O    fn31                   1.445071000000000  A
