# . Text parameter file for the element S.

S    atomicNumber                          16
S    iii                                    3
S    iiid                                   3
S    ir016                                  0
S    ir066                                  0
S    ir244                                  0
S    ir266                                  0
S    ir466                                  0
S    qnd                                    0
S    qnp                                    3
S    qns                                    3
S    ad                     0.590697522403842  atomic
S    alp                    2.461648000000000  A^-1
S    am                     0.433139646990531  atomic
S    aq                     0.645481441708838  atomic
S    betad                  0.000000000000000  eV
S    betap                 -7.905278000000000  eV
S    betas                 -3.920566000000000  eV
S    dd                     0.900426456230154  atomic
S    eheat                 66.400000000000006  kcal/mole
S    eisol               -191.732192999999967  eV
S    f0sd                   0.000000000000000  eV
S    g2sd                   0.000000000000000  eV
S    gp2                    7.781688000000000  eV
S    gphot                  1.000000000000000  dimensionless
S    gpp                   10.039308000000000  eV
S    gsp                    8.663126999999999  eV
S    gss                   11.786329000000000  eV
S    hsp                    2.532137000000000  eV
S    pcore                  0.000000000000000  atomic
S    qq                     1.003632931977829  atomic
S    udd                    0.000000000000000  eV
S    upp                  -48.717049000000003  eV
S    uss                  -56.694056000000003  eV
S    zcore                  6.000000000000000  atomic
S    zdn                    0.000000000000000  atomic
S    zetad                  0.000000000000000  atomic
S    zetap                  1.667263000000000  atomic
S    zetas                  2.366515000000000  atomic
S    zpn                    0.000000000000000  atomic
S    zsn                    0.000000000000000  atomic
S    fn10                  -0.509195000000000  A_eV
S    fn20                   4.593691000000000  A^-2
S    fn30                   0.770665000000000  A
S    fn11                  -0.011863000000000  A_eV
S    fn21                   5.865731000000000  A^-2
S    fn31                   1.503313000000000  A
S    fn12                   0.012334000000000  A_eV
S    fn22                  13.557335999999999  A^-2
S    fn32                   2.009173000000000  A
