# . Text parameter file for the element C.

C    atomicNumber                           6
C    iii                                    2
C    iiid                                   3
C    ir016                                  0
C    ir066                                  0
C    ir244                                  0
C    ir266                                  0
C    ir466                                  0
C    qnd                                    0
C    qnp                                    2
C    qns                                    2
C    ad                     0.614933230187416  atomic
C    alp                    2.546380000000000  A^-1
C    am                     0.449444257214795  atomic
C    aq                     0.668578868595971  atomic
C    betad                  0.000000000000000  eV
C    betap                 -7.934122000000000  eV
C    betas                -18.985043999999998  eV
C    dd                     0.807466179986241  atomic
C    eheat                170.889999999999986  kcal/mole
C    eisol               -120.500606000000005  eV
C    f0sd                   0.000000000000000  eV
C    g2sd                   0.000000000000000  eV
C    gp2                    9.840000000000000  eV
C    gphot                  1.000000000000000  dimensionless
C    gpp                   11.080000000000000  eV
C    gsp                   11.470000000000001  eV
C    gss                   12.230000000000000  eV
C    hsp                    2.430000000000000  eV
C    pcore                  0.000000000000000  atomic
C    qq                     0.685157773736482  atomic
C    udd                    0.000000000000000  eV
C    upp                  -39.205558000000003  eV
C    uss                  -52.279744999999998  eV
C    zcore                  4.000000000000000  atomic
C    zdn                    0.000000000000000  atomic
C    zetad                  0.000000000000000  atomic
C    zetap                  1.787537000000000  atomic
C    zetas                  1.787537000000000  atomic
C    zpn                    0.000000000000000  atomic
C    zsn                    0.000000000000000  atomic
