# . Text parameter file for the element N.

N    atomicNumber                           7
N    iii                                    2
N    iiid                                   3
N    ir016                                  0
N    ir066                                  0
N    ir244                                  0
N    ir266                                  0
N    ir466                                  0
N    qnd                                    0
N    qnp                                    2
N    qns                                    2
N    ad                     0.784346182380968  atomic
N    alp                    2.861342000000000  A^-1
N    am                     0.499423340600905  atomic
N    aq                     0.812631553897112  atomic
N    betad                  0.000000000000000  eV
N    betap                -20.495757999999999  eV
N    betas                -20.495757999999999  eV
N    dd                     0.639903668346652  atomic
N    eheat                113.000000000000000  kcal/mole
N    eisol               -202.566201000000007  eV
N    f0sd                   0.000000000000000  eV
N    g2sd                   0.000000000000000  eV
N    gp2                   11.590000000000000  eV
N    gphot                  1.000000000000000  dimensionless
N    gpp                   12.980000000000000  eV
N    gsp                   12.660000000000000  eV
N    gss                   13.590000000000000  eV
N    hsp                    3.140000000000000  eV
N    pcore                  0.000000000000000  atomic
N    qq                     0.542976267832878  atomic
N    udd                    0.000000000000000  eV
N    upp                  -57.172319000000002  eV
N    uss                  -71.932122000000007  eV
N    zcore                  5.000000000000000  atomic
N    zdn                    0.000000000000000  atomic
N    zetad                  0.000000000000000  atomic
N    zetap                  2.255614000000000  atomic
N    zetas                  2.255614000000000  atomic
N    zpn                    0.000000000000000  atomic
N    zsn                    0.000000000000000  atomic
