# . Text parameter file for the element Cl.

Cl   atomicNumber                          17
Cl   iii                                    3
Cl   iiid                                   3
Cl   ir016                                  0
Cl   ir066                                  0
Cl   ir244                                  0
Cl   ir266                                  0
Cl   ir466                                  0
Cl   qnd                                    0
Cl   qnp                                    3
Cl   qns                                    3
Cl   ad                     0.718203984289644  atomic
Cl   alp                    2.497617000000000  A^-1
Cl   am                     0.588489043890360  atomic
Cl   aq                     0.217473354138356  atomic
Cl   betad                  0.000000000000000  eV
Cl   betap                -14.991178000000000  eV
Cl   betas                -26.913129000000001  eV
Cl   dd                     0.827561131960806  atomic
Cl   eheat                 28.989999999999998  kcal/mole
Cl   eisol               -305.715200999999979  eV
Cl   f0sd                   0.000000000000000  eV
Cl   g2sd                   0.000000000000000  eV
Cl   gp2                    7.504154000000000  eV
Cl   gphot                  1.000000000000000  dimensionless
Cl   gpp                    7.522215000000000  eV
Cl   gsp                    8.048114999999999  eV
Cl   gss                   16.013601000000001  eV
Cl   hsp                    3.481153000000000  eV
Cl   pcore                  0.000000000000000  atomic
Cl   qq                     0.732426890844249  atomic
Cl   udd                    0.000000000000000  eV
Cl   upp                  -53.921650999999997  eV
Cl   uss                  -95.094434000000007  eV
Cl   zcore                  7.000000000000000  atomic
Cl   zdn                    0.000000000000000  atomic
Cl   zetad                  0.000000000000000  atomic
Cl   zetap                  2.284624000000000  atomic
Cl   zetas                  2.548268000000000  atomic
Cl   zpn                    0.000000000000000  atomic
Cl   zsn                    0.000000000000000  atomic
Cl   fn10                  -0.112222000000000  A_eV
Cl   fn20                   5.963719000000000  A^-2
Cl   fn30                   1.027719000000000  A
Cl   fn11                  -0.013061000000000  A_eV
Cl   fn21                   1.999556000000000  A^-2
Cl   fn31                   2.286377000000000  A
Cl   pddgc0                -0.016552000000000  eV
Cl   pddge0                 1.727690000000000  A
Cl   pddgc1                -0.016646000000000  eV
Cl   pddge1                 1.784655000000000  A
