# . Text parameter file for the element I.

I    atomicNumber                          53
I    iii                                    5
I    iiid                                   5
I    ir016                                  0
I    ir066                                  0
I    ir244                                  0
I    ir266                                  0
I    ir466                                  0
I    qnd                                    0
I    qnp                                    5
I    qns                                    5
I    ad                     0.939318276329008  atomic
I    alp                    1.978170000000000  A^-1
I    am                     0.500964717582128  atomic
I    aq                     0.510307490801364  atomic
I    betad                  0.000000000000000  eV
I    betap                 -6.599816000000000  eV
I    betas                -16.592621000000001  eV
I    dd                     0.407261504677315  atomic
I    eheat                 25.516999999999999  kcal/mole
I    eisol               -291.537869000000001  eV
I    f0sd                   0.000000000000000  eV
I    g2sd                   0.000000000000000  eV
I    gp2                    5.966407000000000  eV
I    gphot                  1.000000000000000  dimensionless
I    gpp                    7.288330000000000  eV
I    gsp                   14.990406000000000  eV
I    gss                   13.631943000000000  eV
I    hsp                    2.630035000000000  eV
I    pcore                  0.000000000000000  atomic
I    qq                     1.062574326424461  atomic
I    udd                    0.000000000000000  eV
I    upp                  -61.167136999999997  eV
I    uss                  -97.664174000000003  eV
I    zcore                  7.000000000000000  atomic
I    zdn                    0.000000000000000  atomic
I    zetad                  0.000000000000000  atomic
I    zetap                  2.417757000000000  atomic
I    zetas                  5.062801000000000  atomic
I    zpn                    0.000000000000000  atomic
I    zsn                    0.000000000000000  atomic
I    fn10                  -0.136003000000000  A_eV
I    fn20                   3.852912000000000  A^-2
I    fn30                   1.697455000000000  A
I    fn11                  -0.037287000000000  A_eV
I    fn21                   5.229264000000000  A^-2
I    fn31                   2.768669000000000  A
I    pddgc0                 0.012901000000000  eV
I    pddge0                 1.994299000000000  A
I    pddgc1                -0.012825000000000  eV
I    pddge1                 2.263417000000000  A
