# . Text parameter file for the element N.

N    atomicNumber                           7
N    iii                                    2
N    iiid                                   3
N    ir016                                  0
N    ir066                                  0
N    ir244                                  0
N    ir266                                  0
N    ir466                                  0
N    qnd                                    0
N    qnp                                    2
N    qns                                    2
N    ad                     0.504410439789794  atomic
N    alp                    2.849123999738500  A^-1
N    am                     0.437492898652113  atomic
N    aq                     0.738865092015600  atomic
N    betad                  0.000000000000000  eV
N    betap                -19.938508878968999  eV
N    betas                -14.117229602370999  eV
N    dd                     0.654854608088515  atomic
N    eheat                113.000000000000000  kcal/mole
N    eisol               -158.416204819510000  eV
N    f0sd                   0.000000000000000  eV
N    g2sd                   0.000000000000000  eV
N    gp2                   10.807276999999999  eV
N    gphot                  1.000000000000000  dimensionless
N    gpp                   11.754671999999999  eV
N    gsp                    7.348565000000000  eV
N    gss                   11.904787000000001  eV
N    hsp                    1.136713000000000  eV
N    pcore                  0.000000000000000  atomic
N    qq                     0.526924454003869  atomic
N    udd                    0.000000000000000  eV
N    upp                  -47.757406358411998  eV
N    uss                  -49.454546358058998  eV
N    zcore                  5.000000000000000  atomic
N    zdn                    0.000000000000000  atomic
N    zetad                  0.000000000000000  atomic
N    zetap                  2.324327258082800  atomic
N    zetas                  2.035806843619100  atomic
N    zpn                    0.000000000000000  atomic
N    zsn                    0.000000000000000  atomic
N    fn10                   1.513320305750000  A_eV
N    fn20                   5.904394026345000  A^-2
N    fn30                   1.728376217190000  A
N    fn11                  -1.511891691430000  A_eV
N    fn21                   6.030014409133200  A^-2
N    fn31                   1.734108264570000  A
N    pddgc0                -0.003160075167000  eV
N    pddge0                 1.004171776519300  A
N    pddgc1                 0.012500921781300  eV
N    pddge1                 1.516336180210200  A
