# . Text parameter file for the element P.

P    atomicNumber                          15
P    iii                                    3
P    iiid                                   3
P    ir016                                  0
P    ir066                                  0
P    ir244                                  0
P    ir266                                  0
P    ir466                                  0
P    qnd                                    0
P    qnp                                    3
P    qns                                    3
P    ad                     0.475796614908964  atomic
P    alp                    2.005294000000000  A^-1
P    am                     0.286704093111268  atomic
P    aq                     0.413591559090263  atomic
P    betad                  0.000000000000000  eV
P    betap                 -7.093318000000000  eV
P    betas                -12.676297000000000  eV
P    dd                     0.893978532730131  atomic
P    eheat                 75.569999999999993  kcal/mole
P    eisol               -117.212853999999993  eV
P    f0sd                   0.000000000000000  eV
P    g2sd                   0.000000000000000  eV
P    gp2                    6.062002000000000  eV
P    gphot                  1.000000000000000  dimensionless
P    gpp                    6.618478000000000  eV
P    gsp                    5.186949000000000  eV
P    gss                    7.801615000000000  eV
P    hsp                    1.542809000000000  eV
P    pcore                  0.000000000000000  atomic
P    qq                     0.960456645122124  atomic
P    udd                    0.000000000000000  eV
P    upp                  -30.312978999999999  eV
P    uss                  -37.882112999999997  eV
P    zcore                  5.000000000000000  atomic
P    zdn                    0.000000000000000  atomic
P    zetad                  0.000000000000000  atomic
P    zetap                  1.742213000000000  atomic
P    zetas                  2.395882000000000  atomic
P    zpn                    0.000000000000000  atomic
P    zsn                    0.000000000000000  atomic
P    fn10                  -0.398055000000000  A_eV
P    fn20                   1.997272000000000  A^-2
P    fn30                   0.950073000000000  A
P    fn11                  -0.079653000000000  A_eV
P    fn21                   1.998360000000000  A^-2
P    fn31                   2.336959000000000  A
P    pddgc0                 0.462741000000000  eV
P    pddge0                 0.714296000000000  A
P    pddgc1                -0.020444000000000  eV
P    pddge1                 2.041209000000000  A
