# . Text parameter file for the element S.

S    atomicNumber                          16
S    iii                                    3
S    iiid                                   3
S    ir016                                  0
S    ir066                                  0
S    ir244                                  0
S    ir266                                  0
S    ir466                                  0
S    qnd                                    0
S    qnp                                    3
S    qns                                    3
S    ad                     0.702552229580800  atomic
S    alp                    2.539751000000000  A^-1
S    am                     0.329445470236548  atomic
S    aq                     0.662821981188616  atomic
S    betad                  0.000000000000000  eV
S    betap                 -8.507778999999999  eV
S    betas                 -2.953912000000000  eV
S    dd                     1.006989140432272  atomic
S    eheat                 66.400000000000006  kcal/mole
S    eisol               -166.336554000000007  eV
S    f0sd                   0.000000000000000  eV
S    g2sd                   0.000000000000000  eV
S    gp2                    7.970247000000000  eV
S    gphot                  1.000000000000000  dimensionless
S    gpp                    9.968164000000000  eV
S    gsp                    6.785936000000000  eV
S    gss                    8.964667000000000  eV
S    hsp                    4.041836000000000  eV
S    pcore                  0.000000000000000  atomic
S    qq                     0.891486917717138  atomic
S    udd                    0.000000000000000  eV
S    upp                  -43.461348000000001  eV
S    uss                  -43.906365999999998  eV
S    zcore                  6.000000000000000  atomic
S    zdn                    0.000000000000000  atomic
S    zetad                  0.000000000000000  atomic
S    zetap                  1.876999000000000  atomic
S    zetas                  1.012002000000000  atomic
S    zpn                    0.000000000000000  atomic
S    zsn                    0.000000000000000  atomic
S    fn10                  -0.330692000000000  A_eV
S    fn20                   6.000000000000000  A^-2
S    fn30                   0.823837000000000  A
S    fn11                   0.024171000000000  A_eV
S    fn21                   6.000000000000000  A^-2
S    fn31                   2.017756000000000  A
S    pddgc0                 0.120434000000000  eV
S    pddge0                 0.672870000000000  A
S    pddgc1                -0.002663000000000  eV
S    pddge1                 2.032340000000000  A
