# . Text parameter file for the element I.

I    atomicNumber                          53
I    iii                                    5
I    iiid                                   5
I    ir016                                  0
I    ir066                                  0
I    ir244                                  0
I    ir266                                  0
I    ir466                                  0
I    qnd                                    0
I    qnp                                    5
I    qns                                    5
I    ad                     1.669878604956035  atomic
I    alp                    1.990185000000000  A^-1
I    am                     0.500964717582128  atomic
I    aq                     0.515298956214483  atomic
I    betad                  0.000000000000000  eV
I    betap                 -5.894703000000000  eV
I    betas                -14.494234000000001  eV
I    dd                     0.158146944407193  atomic
I    eheat                 25.516999999999999  kcal/mole
I    eisol               -288.316086000000041  eV
I    f0sd                   0.000000000000000  eV
I    g2sd                   0.000000000000000  eV
I    gp2                    5.966407000000000  eV
I    gphot                  1.000000000000000  dimensionless
I    gpp                    7.288330000000000  eV
I    gsp                   14.990406000000000  eV
I    gss                   13.631943000000000  eV
I    hsp                    2.630035000000000  eV
I    pcore                  0.000000000000000  atomic
I    qq                     1.046730225441410  atomic
I    udd                    0.000000000000000  eV
I    upp                  -61.091582000000002  eV
I    uss                  -96.454037000000000  eV
I    zcore                  7.000000000000000  atomic
I    zdn                    0.000000000000000  atomic
I    zetad                  0.000000000000000  atomic
I    zetap                  2.454354000000000  atomic
I    zetas                  7.001013000000000  atomic
I    zpn                    0.000000000000000  atomic
I    zsn                    0.000000000000000  atomic
I    fn10                  -0.131481000000000  A_eV
I    fn20                   5.206417000000000  A^-2
I    fn30                   1.748824000000000  A
I    fn11                  -0.036897000000000  A_eV
I    fn21                   6.010117000000000  A^-2
I    fn31                   2.710373000000000  A
