# . Text parameter file for the element Br.

Br   atomicNumber                          35
Br   iii                                    4
Br   iiid                                   4
Br   ir016                                  0
Br   ir066                                  0
Br   ir244                                  0
Br   ir266                                  0
Br   ir466                                  0
Br   qnd                                    4
Br   qnp                                    4
Br   qns                                    4
Br   ad                     1.317805258801072  atomic
Br   alp                    0.000000000000000  A^-1
Br   am                     0.279911935679095  atomic
Br   aq                     0.514512226772746  atomic
Br   betad                 -9.839124000000000  eV
Br   betap                 -9.514483999999999  eV
Br   betas                -32.131664999999998  eV
Br   dd                     0.364308019403979  atomic
Br   eheat                 26.739999999999998  kcal/mole
Br   eisol               -226.960907000000049  eV
Br   f0sd                  16.099710959999999  eV
Br   g2sd                   8.883866760000000  eV
Br   gp2                    8.343792000000001  eV
Br   gphot                  1.000000000000000  dimensionless
Br   gpp                    9.649215999999999  eV
Br   gsp                    5.010425000000000  eV
Br   gss                    7.616791000000000  eV
Br   hsp                    4.996553000000000  eV
Br   pcore                  0.000000000000000  atomic
Br   qq                     1.042097292704869  atomic
Br   udd                    7.086738000000000  eV
Br   upp                  -50.293675000000000  eV
Br   uss                  -45.834364000000001  eV
Br   zcore                  7.000000000000000  atomic
Br   zdn                    2.820003000000000  atomic
Br   zetad                  1.521031000000000  atomic
Br   zetap                  2.035626000000000  atomic
Br   zetas                  4.670684000000000  atomic
Br   zpn                    3.065764000000000  atomic
Br   zsn                    3.094777000000000  atomic
Br   fn10                  -0.004996000000000  A_eV
Br   fn20                   6.001292000000000  A^-2
Br   fn30                   2.895153000000000  A
Br   diatomicA      H       2.192803000000000  A^-1
Br   diatomicX      H       0.850378000000000  dimensionless
Br   diatomicA      He      2.128275000000000  A^-1
Br   diatomicX      He      1.062043000000000  dimensionless
Br   diatomicA      Li      2.074441000000000  A^-1
Br   diatomicX      Li      1.858866000000000  dimensionless
Br   diatomicA      Be      2.367146000000000  A^-1
Br   diatomicX      Be      1.940933000000000  dimensionless
Br   diatomicA      B       2.307890000000000  A^-1
Br   diatomicX      B       1.226420000000000  dimensionless
Br   diatomicA      C       2.015086000000000  A^-1
Br   diatomicX      C       0.570686000000000  dimensionless
Br   diatomicA      N       4.224901000000000  A^-1
Br   diatomicX      N      30.000133000000002  dimensionless
Br   diatomicA      O       2.283046000000000  A^-1
Br   diatomicX      O       0.706584000000000  dimensionless
Br   diatomicA      F       2.031765000000000  A^-1
Br   diatomicX      F       0.293500000000000  dimensionless
Br   diatomicA      Ne      2.464172000000000  A^-1
Br   diatomicX      Ne      1.006159000000000  dimensionless
Br   diatomicA      Na      1.622218000000000  A^-1
Br   diatomicX      Na      1.752937000000000  dimensionless
Br   diatomicA      Mg      2.195697000000000  A^-1
Br   diatomicX      Mg      2.916280000000000  dimensionless
Br   diatomicA      Al      1.894141000000000  A^-1
Br   diatomicX      Al      2.357130000000000  dimensionless
Br   diatomicA      Si      1.570825000000000  A^-1
Br   diatomicX      Si      0.589511000000000  dimensionless
Br   diatomicA      P       1.402139000000000  A^-1
Br   diatomicX      P       0.456521000000000  dimensionless
Br   diatomicA      S       1.509874000000000  A^-1
