# . Text parameter file for the element Cl.

Cl   atomicNumber                          17
Cl   iii                                    3
Cl   iiid                                   3
Cl   ir016                                  0
Cl   ir066                                  0
Cl   ir244                                  0
Cl   ir266                                  0
Cl   ir466                                  0
Cl   qnd                                    3
Cl   qnp                                    3
Cl   qns                                    3
Cl   ad                     0.868986697777764  atomic
Cl   alp                    0.000000000000000  A^-1
Cl   am                     0.409485024565124  atomic
Cl   aq                     0.635730468957676  atomic
Cl   betad                 -4.037751000000000  eV
Cl   betap                -13.802139000000000  eV
Cl   betas                 -2.367988000000000  eV
Cl   dd                     0.815004299681025  atomic
Cl   eheat                 28.989999999999998  kcal/mole
Cl   eisol               -252.909376000000037  eV
Cl   f0sd                   8.670757090000000  eV
Cl   g2sd                   0.052521780000000  eV
Cl   gp2                    8.128436000000001  eV
Cl   gphot                  1.000000000000000  dimensionless
Cl   gpp                    9.551886000000000  eV
Cl   gsp                    7.487881000000000  eV
Cl   gss                   11.142654000000000  eV
Cl   hsp                    5.004267000000000  eV
Cl   pcore                  0.000000000000000  atomic
Cl   qq                     0.789992782871507  atomic
Cl   udd                  -38.258155000000002  eV
Cl   upp                  -54.482801000000002  eV
Cl   uss                  -61.389930000000000  eV
Cl   zcore                  7.000000000000000  atomic
Cl   zdn                    6.410325000000000  atomic
Cl   zetad                  1.324033000000000  atomic
Cl   zetap                  2.118146000000000  atomic
Cl   zetas                  2.637050000000000  atomic
Cl   zpn                    2.464067000000000  atomic
Cl   zsn                    0.956297000000000  atomic
Cl   fn10                  -0.013213000000000  A_eV
Cl   fn20                   3.687022000000000  A^-2
Cl   fn30                   2.544635000000000  A
Cl   diatomicA      H       2.402886000000000  A^-1
Cl   diatomicX      H       0.754831000000000  dimensionless
Cl   diatomicA      He      1.671677000000000  A^-1
Cl   diatomicX      He      0.272964000000000  dimensionless
Cl   diatomicA      Li      2.783001000000000  A^-1
Cl   diatomicX      Li      4.227794000000000  dimensionless
Cl   diatomicA      Be      2.822676000000000  A^-1
Cl   diatomicX      Be      2.507275000000000  dimensionless
Cl   diatomicA      B       2.259323000000000  A^-1
Cl   diatomicX      B       0.822129000000000  dimensionless
Cl   diatomicA      C       2.162197000000000  A^-1
Cl   diatomicX      C       0.515787000000000  dimensionless
Cl   diatomicA      N       2.172134000000000  A^-1
Cl   diatomicX      N       0.520745000000000  dimensionless
Cl   diatomicA      O       2.323236000000000  A^-1
Cl   diatomicX      O       0.585510000000000  dimensionless
Cl   diatomicA      F       2.313270000000000  A^-1
Cl   diatomicX      F       0.411124000000000  dimensionless
Cl   diatomicA      Ne      1.703151000000000  A^-1
Cl   diatomicX      Ne      0.125133000000000  dimensionless
Cl   diatomicA      Na      1.816429000000000  A^-1
Cl   diatomicX      Na      1.357894000000000  dimensionless
Cl   diatomicA      Mg      2.391806000000000  A^-1
Cl   diatomicX      Mg      2.430856000000000  dimensionless
Cl   diatomicA      Al      2.125939000000000  A^-1
Cl   diatomicX      Al      2.153451000000000  dimensionless
Cl   diatomicA      Si      1.684978000000000  A^-1
Cl   diatomicX      Si      0.513000000000000  dimensionless
Cl   diatomicA      P       1.468306000000000  A^-1
Cl   diatomicX      P       0.352361000000000  dimensionless
Cl   diatomicA      S       1.715435000000000  A^-1
Cl   diatomicX      S       0.356971000000000  dimensionless
Cl   diatomicA      Cl      1.823239000000000  A^-1
Cl   diatomicX      Cl      0.332919000000000  dimensionless
Cl   diatomicA      Ar      2.554449000000000  A^-1
Cl   diatomicX      Ar      2.256094000000000  dimensionless
Cl   diatomicA      K       1.622163000000000  A^-1
Cl   diatomicX      K       1.231481000000000  dimensionless
Cl   diatomicA      Ca      2.383391000000000  A^-1
Cl   diatomicX      Ca      5.956144000000000  dimensionless
Cl   diatomicA      Sc      2.141474000000000  A^-1
Cl   diatomicX      Sc      2.996129000000000  dimensionless
Cl   diatomicA      Ti      1.461034000000000  A^-1
Cl   diatomicX      Ti      0.333297000000000  dimensionless
Cl   diatomicA      V       1.688529000000000  A^-1
Cl   diatomicX      V       0.243657000000000  dimensionless
Cl   diatomicA      Cr      1.494367000000000  A^-1
Cl   diatomicX      Cr      0.081301000000000  dimensionless
Cl   diatomicA      Mn      1.657010000000000  A^-1
Cl   diatomicX      Mn      0.201850000000000  dimensionless
Cl   diatomicA      Fe      1.229793000000000  A^-1
Cl   diatomicX      Fe      0.019473000000000  dimensionless
Cl   diatomicA      Co      2.703903000000000  A^-1
Cl   diatomicX      Co      0.936122000000000  dimensionless
Cl   diatomicA      Ni      2.200512000000000  A^-1
Cl   diatomicX      Ni      0.202313000000000  dimensionless
