# . Text parameter file for the element O.

O    atomicNumber                           8
O    iii                                    2
O    iiid                                   3
O    ir016                                  0
O    ir066                                  0
O    ir244                                  0
O    ir266                                  0
O    ir466                                  0
O    qnd                                    0
O    qnp                                    2
O    qns                                    2
O    ad                     1.684325882986463  atomic
O    alp                    0.000000000000000  A^-1
O    am                     0.415415924792710  atomic
O    aq                     1.093542250924724  atomic
O    betad                  0.000000000000000  eV
O    betap                -21.622603999999999  eV
O    betas                -65.635137000000000  eV
O    dd                     0.237113065251533  atomic
O    eheat                 59.558999999999997  kcal/mole
O    eisol               -287.127218000000028  eV
O    f0sd                   0.000000000000000  eV
O    g2sd                   0.000000000000000  eV
O    gp2                   10.332765000000000  eV
O    gphot                  1.000000000000000  dimensionless
O    gpp                   13.618205000000000  eV
O    gsp                   15.807423999999999  eV
O    gss                   11.304042000000001  eV
O    hsp                    5.010801000000000  eV
O    pcore                  0.000000000000000  atomic
O    qq                     0.539307108619962  atomic
O    udd                    0.000000000000000  eV
O    upp                  -70.460948999999999  eV
O    uss                  -91.678760999999994  eV
O    zcore                  6.000000000000000  atomic
O    zdn                    0.000000000000000  atomic
O    zetad                  0.000000000000000  atomic
O    zetap                  2.270960000000000  atomic
O    zetas                  5.421751000000000  atomic
O    zpn                    0.000000000000000  atomic
O    zsn                    0.000000000000000  atomic
O    fn10                  -0.017771000000000  A_eV
O    fn20                   3.058310000000000  A^-2
O    fn30                   1.896435000000000  A
O    diatomicA      H       1.260942000000000  A^-1
O    diatomicX      H       0.192295000000000  dimensionless
O    diatomicA      He      3.653775000000000  A^-1
O    diatomicX      He      6.684525000000000  dimensionless
O    diatomicA      Li      2.584442000000000  A^-1
O    diatomicX      Li      1.968598000000000  dimensionless
O    diatomicA      Be      3.051867000000000  A^-1
O    diatomicX      Be      3.218155000000000  dimensionless
O    diatomicA      B       2.695351000000000  A^-1
O    diatomicX      B       1.269801000000000  dimensionless
O    diatomicA      C       2.889607000000000  A^-1
O    diatomicX      C       0.990211000000000  dimensionless
O    diatomicA      N       2.784292000000000  A^-1
O    diatomicX      N       0.764756000000000  dimensionless
O    diatomicA      O       2.623998000000000  A^-1
O    diatomicX      O       0.535112000000000  dimensionless
O    diatomicA      F       3.015444000000000  A^-1
O    diatomicX      F       0.674251000000000  dimensionless
O    diatomicA      Ne      2.889587000000000  A^-1
O    diatomicX      Ne      0.763899000000000  dimensionless
O    diatomicA      Na      1.981449000000000  A^-1
O    diatomicX      Na      3.270079000000000  dimensionless
O    diatomicA      Mg      2.251520000000000  A^-1
O    diatomicX      Mg      1.535734000000000  dimensionless
O    diatomicA      Al      2.498660000000000  A^-1
O    diatomicX      Al      2.131396000000000  dimensionless
O    diatomicA      Si      1.923600000000000  A^-1
O    diatomicX      Si      0.751095000000000  dimensionless
O    diatomicA      P       2.220768000000000  A^-1
O    diatomicX      P       0.878705000000000  dimensionless
O    diatomicA      S       2.383289000000000  A^-1
O    diatomicX      S       0.747215000000000  dimensionless
O    diatomicA      Cl      2.323236000000000  A^-1
O    diatomicX      Cl      0.585510000000000  dimensionless
O    diatomicA      Ar      2.240673000000000  A^-1
O    diatomicX      Ar      0.355795000000000  dimensionless
O    diatomicA      K       1.508571000000000  A^-1
O    diatomicX      K       1.012275000000000  dimensionless
O    diatomicA      Ca      3.119102000000000  A^-1
O    diatomicX      Ca     12.282783000000000  dimensionless
O    diatomicA      Sc      2.256516000000000  A^-1
O    diatomicX      Sc      3.058672000000000  dimensionless
O    diatomicA      Ti      1.789118000000000  A^-1
O    diatomicX      Ti      0.799486000000000  dimensionless
O    diatomicA      V       1.623973000000000  A^-1
O    diatomicX      V       0.415312000000000  dimensionless
O    diatomicA      Cr      1.531568000000000  A^-1
O    diatomicX      Cr      0.221554000000000  dimensionless
O    diatomicA      Mn      2.577540000000000  A^-1
O    diatomicX      Mn      1.285620000000000  dimensionless
O    diatomicA      Fe      1.726313000000000  A^-1
O    diatomicX      Fe      0.136422000000000  dimensionless
O    diatomicA      Co      3.373533000000000  A^-1
O    diatomicX      Co      4.374219000000000  dimensionless
O    diatomicA      Ni      2.937232000000000  A^-1
O    diatomicX      Ni      0.885942000000000  dimensionless
O    diatomicA      Cu      1.913241000000000  A^-1
O    diatomicX      Cu      0.045699000000000  dimensionless
O    diatomicA      Zn      2.335054000000000  A^-1
O    diatomicX      Zn      2.265313000000000  dimensionless
O    diatomicA      Ga      2.348347000000000  A^-1
O    diatomicX      Ga      1.523644000000000  dimensionless
O    diatomicA      Ge      2.139413000000000  A^-1
O    diatomicX      Ge      0.826964000000000  dimensionless
O    diatomicA      As      2.003950000000000  A^-1
O    diatomicX      As      0.701614000000000  dimensionless
O    diatomicA      Se      2.484263000000000  A^-1
O    diatomicX      Se      0.955161000000000  dimensionless
O    diatomicA      Br      2.283046000000000  A^-1
