# . Text parameter file for the element S.

S    atomicNumber                          16
S    iii                                    3
S    iiid                                   3
S    ir016                                  0
S    ir066                                  0
S    ir244                                  0
S    ir266                                  0
S    ir466                                  0
S    qnd                                    3
S    qnp                                    3
S    qns                                    3
S    ad                     0.799383810675092  atomic
S    alp                    0.000000000000000  A^-1
S    am                     0.337004181860155  atomic
S    aq                     0.491491693894918  atomic
S    betad                 -9.986172000000000  eV
S    betap                 -7.664613000000000  eV
S    betas                -13.827439999999999  eV
S    dd                     0.975454798178684  atomic
S    eheat                 66.400000000000006  kcal/mole
S    eisol               -171.743019500000031  eV
S    f0sd                   4.350909830000000  eV
S    g2sd                   0.006969780000000  eV
S    gp2                    7.301878000000000  eV
S    gphot                  1.000000000000000  dimensionless
S    gpp                    8.165473000000000  eV
S    gsp                    5.944296000000000  eV
S    gss                    9.170349999999999  eV
S    hsp                    5.005404000000000  eV
S    pcore                  0.000000000000000  atomic
S    qq                     0.908880586845398  atomic
S    udd                  -46.306944000000001  eV
S    upp                  -39.191045000000003  eV
S    uss                  -47.530706000000002  eV
S    zcore                  6.000000000000000  atomic
S    zdn                    4.317470000000000  atomic
S    zetad                  3.109401000000000  atomic
S    zetap                  1.841078000000000  atomic
S    zetas                  2.192844000000000  atomic
S    zpn                    1.015507000000000  atomic
S    zsn                    0.479722000000000  atomic
S    fn10                  -0.036928000000000  A_eV
S    fn20                   1.795067000000000  A^-2
S    fn30                   2.082618000000000  A
S    diatomicA      H       2.215975000000000  A^-1
S    diatomicX      H       0.849712000000000  dimensionless
S    diatomicA      He      1.959149000000000  A^-1
S    diatomicX      He      0.437618000000000  dimensionless
S    diatomicA      Li      2.294275000000000  A^-1
S    diatomicX      Li      2.642502000000000  dimensionless
S    diatomicA      Be      2.781736000000000  A^-1
S    diatomicX      Be      3.791565000000000  dimensionless
S    diatomicA      B       2.403696000000000  A^-1
S    diatomicX      B       1.125394000000000  dimensionless
S    diatomicA      C       2.210305000000000  A^-1
S    diatomicX      C       0.666849000000000  dimensionless
S    diatomicA      N       2.289990000000000  A^-1
S    diatomicX      N       0.738710000000000  dimensionless
S    diatomicA      O       2.383289000000000  A^-1
S    diatomicX      O       0.747215000000000  dimensionless
S    diatomicA      F       2.187186000000000  A^-1
S    diatomicX      F       0.375251000000000  dimensionless
S    diatomicA      Ne      2.787058000000000  A^-1
S    diatomicX      Ne      3.296160000000000  dimensionless
S    diatomicA      Na      1.400850000000000  A^-1
S    diatomicX      Na      0.852434000000000  dimensionless
S    diatomicA      Mg      1.500163000000000  A^-1
S    diatomicX      Mg      0.500748000000000  dimensionless
S    diatomicA      Al      1.976705000000000  A^-1
S    diatomicX      Al      2.347384000000000  dimensionless
S    diatomicA      Si      1.885916000000000  A^-1
S    diatomicX      Si      0.876658000000000  dimensionless
S    diatomicA      P       1.595325000000000  A^-1
S    diatomicX      P       0.562266000000000  dimensionless
S    diatomicA      S       1.794556000000000  A^-1
S    diatomicX      S       0.473856000000000  dimensionless
S    diatomicA      Cl      1.715435000000000  A^-1
S    diatomicX      Cl      0.356971000000000  dimensionless
S    diatomicA      Ar      2.049398000000000  A^-1
S    diatomicX      Ar      0.653769000000000  dimensionless
S    diatomicA      K       2.512156000000000  A^-1
S    diatomicX      K      29.528950999999999  dimensionless
S    diatomicA      Ca      0.958171000000000  A^-1
S    diatomicX      Ca      0.325739000000000  dimensionless
S    diatomicA      Sc      0.422939000000000  A^-1
S    diatomicX      Sc      0.211850000000000  dimensionless
S    diatomicA      Ti      1.846439000000000  A^-1
S    diatomicX      Ti      0.943784000000000  dimensionless
S    diatomicA      V       2.704124000000000  A^-1
S    diatomicX      V       2.035039000000000  dimensionless
S    diatomicA      Cr      1.705562000000000  A^-1
S    diatomicX      Cr      0.131083000000000  dimensionless
S    diatomicA      Mn      2.482510000000000  A^-1
