# . Text parameter file for the element Si.

Si   atomicNumber                          14
Si   iii                                    3
Si   iiid                                   3
Si   ir016                                  0
Si   ir066                                  0
Si   ir244                                  0
Si   ir266                                  0
Si   ir466                                  0
Si   qnd                                    3
Si   qnp                                    3
Si   qns                                    3
Si   ad                     0.387748683604097  atomic
Si   alp                    0.000000000000000  A^-1
Si   am                     0.190905582551161  atomic
Si   aq                     0.291510839343507  atomic
Si   betad                 -6.360627000000000  eV
Si   betap                 -1.856482000000000  eV
Si   betas                 -8.686909000000000  eV
Si   dd                     1.207667279417170  atomic
Si   eheat                108.390000000000001  kcal/mole
Si   eisol                -68.428267499999990  eV
Si   f0sd                   6.427188280000000  eV
Si   g2sd                   0.002725700000000  eV
Si   gp2                    4.769775000000000  eV
Si   gphot                  1.000000000000000  dimensionless
Si   gpp                    5.185150000000000  eV
Si   gsp                    5.090534000000000  eV
Si   gss                    5.194805000000000  eV
Si   hsp                    1.425012000000000  eV
Si   pcore                  0.000000000000000  atomic
Si   qq                     1.396279957800985  atomic
Si   udd                  -22.751899999999999  eV
Si   upp                  -20.490577999999999  eV
Si   uss                  -27.358058000000000  eV
Si   zcore                  4.000000000000000  atomic
Si   zdn                    0.708600000000000  atomic
Si   zetad                  2.128593000000000  atomic
Si   zetap                  1.198413000000000  atomic
Si   zetas                  1.752741000000000  atomic
Si   zpn                    1.843048000000000  atomic
Si   zsn                    8.388111000000000  atomic
Si   fn10                   0.208571000000000  A_eV
Si   fn20                   6.000483000000000  A^-2
Si   fn30                   1.185245000000000  A
Si   diatomicA      H       1.896950000000000  A^-1
Si   diatomicX      H       0.924196000000000  dimensionless
Si   diatomicA      He      2.040498000000000  A^-1
Si   diatomicX      He      1.853583000000000  dimensionless
Si   diatomicA      Li      1.789609000000000  A^-1
Si   diatomicX      Li      3.090791000000000  dimensionless
Si   diatomicA      Be      1.263132000000000  A^-1
Si   diatomicX      Be      0.623433000000000  dimensionless
Si   diatomicA      B       1.982653000000000  A^-1
Si   diatomicX      B       1.028287000000000  dimensionless
Si   diatomicA      C       1.984498000000000  A^-1
Si   diatomicX      C       0.785745000000000  dimensionless
Si   diatomicA      N       1.818988000000000  A^-1
Si   diatomicX      N       0.592972000000000  dimensionless
Si   diatomicA      O       1.923600000000000  A^-1
Si   diatomicX      O       0.751095000000000  dimensionless
Si   diatomicA      F       2.131028000000000  A^-1
Si   diatomicX      F       0.543516000000000  dimensionless
Si   diatomicA      Ne      2.867784000000000  A^-1
Si   diatomicX      Ne     14.378676000000000  dimensionless
Si   diatomicA      Na      2.007615000000000  A^-1
Si   diatomicX      Na      9.237644000000000  dimensionless
Si   diatomicA      Mg      3.139749000000000  A^-1
Si   diatomicX      Mg     29.994520000000001  dimensionless
Si   diatomicA      Al      1.900000000000000  A^-1
Si   diatomicX      Al      2.000000000000000  dimensionless
Si   diatomicA      Si      1.329000000000000  A^-1
Si   diatomicX      Si      0.273477000000000  dimensionless
Si   diatomicA      P       3.313466000000000  A^-1
Si   diatomicX      P      13.239121000000001  dimensionless
Si   diatomicA      S       1.885916000000000  A^-1
